issn_l,earliest_year,pub_type,n,oa_articles
0002-8614,2020,core,379,33
0002-8614,2020,all,589,96
0002-8614,2021,core,362,29
0002-8614,2021,all,559,58
0002-8614,2022,core,321,30
0002-8614,2022,all,528,42
0002-8614,2023,core,423,109
0002-8614,2023,all,640,151
0002-8703,2019,core,168,23
0002-8703,2019,all,196,23
0002-8703,2020,core,197,27
0002-8703,2020,all,249,28
0002-8703,2021,core,154,31
0002-8703,2021,all,200,31
0002-8703,2022,core,156,45
0002-8703,2022,all,190,45
0002-8703,2023,core,191,57
0002-8703,2023,all,205,57
0002-8762,2019,core,57,1
0002-8762,2019,all,80,1
0002-8762,2020,core,70,1
0002-8762,2020,all,97,1
0002-8762,2021,core,43,0
0002-8762,2021,all,44,0
0002-8762,2022,core,392,0
0002-8762,2022,all,399,0
0002-8762,2023,core,68,4
0002-8762,2023,all,75,4
0002-9092,2019,core,76,13
0002-9092,2019,all,81,13
0002-9092,2020,core,81,6
0002-9092,2020,all,87,6
0002-9092,2021,core,90,14
0002-9092,2021,all,97,14
0002-9092,2022,core,78,15
0002-9092,2022,all,79,15
0002-9092,2023,core,117,69
0002-9092,2023,all,118,69
0002-9122,2019,core,221,13
0002-9122,2019,all,243,15
0002-9122,2020,core,237,34
0002-9122,2020,all,252,36
0002-9122,2021,core,184,49
0002-9122,2021,all,195,50
0002-9122,2022,core,150,59
0002-9122,2022,all,156,62
0002-9122,2023,core,149,74
0002-9122,2023,all,161,80
0002-9149,2019,core,590,17
0002-9149,2019,all,670,18
0002-9149,2020,core,530,33
0002-9149,2020,all,665,35
0002-9149,2021,core,467,42
0002-9149,2021,all,631,42
0002-9149,2022,core,504,65
0002-9149,2022,all,659,65
0002-9149,2023,core,778,83
0002-9149,2023,all,987,85
0002-9157,2019,core,8,0
0002-9157,2019,all,9,0
0002-9157,2020,core,36,0
0002-9157,2020,all,45,0
0002-9157,2021,core,21,0
0002-9157,2021,all,24,0
0002-9157,2022,core,30,3
0002-9157,2022,all,36,3
0002-9157,2023,core,33,1
0002-9157,2023,all,36,1
0002-9165,2019,core,288,83
0002-9165,2019,all,376,89
0002-9165,2020,core,267,84
0002-9165,2020,all,381,95
0002-9165,2021,core,355,127
0002-9165,2021,all,462,139
0002-9165,2022,core,304,121
0002-9165,2022,all,409,145
0002-9165,2023,core,250,86
0002-9165,2023,all,330,88
0002-9173,2019,core,156,11
0002-9173,2019,all,173,11
0002-9173,2020,core,183,26
0002-9173,2020,all,209,31
0002-9173,2021,core,202,25
0002-9173,2021,all,225,32
0002-9173,2022,core,204,10
0002-9173,2022,all,250,10
0002-9173,2023,core,132,7
0002-9173,2023,all,165,10
0002-919X,2019,core,11,0
0002-919X,2019,all,12,0
0002-919X,2020,core,22,1
0002-919X,2020,all,25,1
0002-919X,2021,core,19,3
0002-919X,2021,all,23,3
0002-919X,2022,core,34,5
0002-919X,2022,all,38,5
0002-919X,2023,core,17,4
0002-919X,2023,all,17,4
0002-9246,2019,core,36,0
0002-9246,2019,all,42,0
0002-9246,2020,core,51,1
0002-9246,2020,all,57,1
0002-9246,2021,core,58,6
0002-9246,2021,all,64,6
0002-9246,2022,core,41,0
0002-9246,2022,all,47,0
0002-9246,2023,core,57,12
0002-9246,2023,all,60,12
0002-9262,2019,core,239,41
0002-9262,2019,all,299,43
0002-9262,2020,core,169,28
0002-9262,2020,all,215,34
0002-9262,2021,core,304,71
0002-9262,2021,all,357,79
0002-9262,2022,core,210,36
0002-9262,2022,all,242,39
0002-9262,2023,core,199,45
0002-9262,2023,all,239,47
0002-9270,2019,core,229,10
0002-9270,2019,all,398,11
0002-9270,2020,core,324,16
0002-9270,2020,all,472,17
0002-9270,2021,core,421,19
0002-9270,2021,all,637,23
0002-9270,2022,core,254,34
0002-9270,2022,all,440,39
0002-9270,2023,core,283,34
0002-9270,2023,all,415,39
0002-9297,2019,core,177,57
0002-9297,2019,all,210,61
0002-9297,2020,core,149,58
0002-9297,2020,all,171,67
0002-9297,2021,core,171,61
0002-9297,2021,all,195,64
0002-9297,2022,core,162,61
0002-9297,2022,all,177,67
0002-9297,2023,core,152,53
0002-9297,2023,all,166,60
0002-9300,2019,core,33,0
0002-9300,2019,all,34,0
0002-9300,2020,core,42,2
0002-9300,2020,all,44,2
0002-9300,2021,core,51,4
0002-9300,2021,all,51,4
0002-9300,2022,core,52,14
0002-9300,2022,all,53,14
0002-9300,2023,core,46,15
0002-9300,2023,all,48,15
0002-9319,2019,core,15,1
0002-9319,2019,all,15,1
0002-9319,2020,core,13,0
0002-9319,2020,all,14,0
0002-9319,2021,core,17,3
0002-9319,2021,all,19,3
0002-9319,2022,core,15,2
0002-9319,2022,all,15,2
0002-9319,2023,core,21,0
0002-9319,2023,all,24,1
0002-9343,2019,core,246,8
0002-9343,2019,all,482,8
0002-9343,2020,core,290,13
0002-9343,2020,all,564,17
0002-9343,2021,core,309,18
0002-9343,2021,all,572,24
0002-9343,2022,core,242,16
0002-9343,2022,all,462,17
0002-9343,2023,core,211,21
0002-9343,2023,all,427,24
0002-936X,2019,core,252,0
0002-936X,2019,all,431,0
0002-936X,2020,core,201,0
0002-936X,2020,all,359,0
0002-936X,2021,core,245,0
0002-936X,2021,all,365,0
0002-936X,2022,core,148,0
0002-936X,2022,all,312,0
0002-936X,2023,core,190,0
0002-936X,2023,all,336,0
0002-9378,2019,core,280,10
0002-9378,2019,all,467,11
0002-9378,2020,core,246,19
0002-9378,2020,all,569,30
0002-9378,2021,core,244,32
0002-9378,2021,all,538,49
0002-9378,2022,core,284,41
0002-9378,2022,all,631,58
0002-9378,2023,core,407,76
0002-9378,2023,all,660,84
0002-9394,2019,core,296,29
0002-9394,2019,all,383,29
0002-9394,2020,core,319,37
0002-9394,2020,all,414,40
0002-9394,2021,core,354,42
0002-9394,2021,all,429,45
0002-9394,2022,core,328,43
0002-9394,2022,all,411,44
0002-9394,2023,core,254,48
0002-9394,2023,all,320,50
0002-9432,2019,core,86,7
0002-9432,2019,all,88,7
