issn_l,earliest_year,pubtype,ta_articles,ta_oa_articles,ta_first_author_articles,ta_oa_first_author_articles,ta_corresponding_author_articles,ta_oa_corresponding_author_articles,ta_first_corresponding_author_articles,ta_oa_first_corresponding_author_articles
0004-0002,2023,all,127,78,120,77,116,72,96,61
0004-069X,2023,core,3,2,1,1,3,2,0,0
0004-069X,2023,all,3,2,1,1,3,2,0,0
0004-0894,2023,core,69,56,68,55,68,55,63,51
0004-0894,2023,all,72,58,71,57,71,57,66,53
0004-3079,2023,core,2,0,2,0,2,0,2,0
0004-3079,2023,all,2,0,2,0,2,0,2,0
0004-3125,2023,core,1,1,1,1,0,0,0,0
0004-3125,2023,all,1,1,1,1,0,0,0,0
0004-3249,2023,core,1,0,1,0,1,0,1,0
0004-3249,2023,all,1,0,1,0,1,0,1,0
0004-3702,2023,core,76,45,66,40,68,42,42,26
0004-3702,2023,all,80,45,70,40,72,42,44,26
0004-5411,2023,core,12,3,12,3,0,0,0,0
0004-5411,2023,all,12,3,12,3,0,0,0,0
0004-5632,2023,core,25,4,21,3,24,3,18,2
0004-5632,2023,all,29,4,25,3,28,3,22,2
0004-6264,2023,core,16,2,15,2,16,2,13,2
0004-6264,2023,all,16,2,15,2,16,2,13,2
0004-6280,2023,core,29,25,27,24,24,21,21,19
0004-6280,2023,all,29,25,27,24,24,21,21,19
0004-6337,2023,core,73,42,69,42,72,42,64,39
0004-6337,2023,all,76,44,72,44,75,44,66,40
0004-6361,2023,core,629,619,623,613,292,290,273,271
0004-6361,2023,all,638,628,632,622,293,291,274,272
0004-640X,2023,core,18,13,18,13,18,13,18,13
0004-640X,2023,all,19,14,19,14,19,14,19,14
0004-8038,2023,core,3,0,3,0,3,0,3,0
0004-8038,2023,all,3,0,3,0,3,0,3,0
0004-8380,2023,core,65,32,60,30,63,30,39,16
0004-8380,2023,all,111,58,103,53,107,54,69,30
0004-8402,2023,core,22,13,22,13,18,11,18,11
0004-8402,2023,all,29,15,29,15,23,12,23,12
0004-8666,2023,core,113,70,107,65,113,70,82,48
0004-8666,2023,all,130,73,124,68,130,73,99,51
0004-8674,2023,core,134,51,132,49,133,51,100,37
0004-8674,2023,all,189,65,185,63,188,65,147,51
0004-900X,2023,core,17,15,13,12,17,15,11,10
0004-900X,2023,all,17,15,13,12,17,15,11,10
0004-9018,2023,core,18,15,17,14,11,9,10,8
0004-9018,2023,all,18,15,17,14,11,9,10,8
0004-9158,2023,core,4,4,4,4,4,4,2,2
0004-9158,2023,all,4,4,4,4,4,4,2,2
0004-9182,2023,core,40,26,40,26,39,26,33,22
0004-9182,2023,all,41,26,41,26,40,26,34,22
0004-9425,2023,core,32,26,29,24,31,26,8,7
0004-9425,2023,all,35,26,32,24,34,26,11,7
0004-9441,2023,core,18,13,18,13,18,13,16,13
0004-9441,2023,all,18,13,18,13,18,13,16,13
0004-9522,2023,core,26,20,26,20,26,20,23,17
0004-9522,2023,all,52,39,52,39,52,39,46,34
0004-959X,2023,core,11,10,11,10,11,10,8,7
0004-959X,2023,all,11,10,11,10,11,10,8,7
0004-9727,2023,core,56,15,53,15,43,14,35,10
0004-9727,2023,all,56,15,53,15,43,14,35,10
0005-0067,2023,core,52,32,52,32,52,32,35,21
0005-0067,2023,all,56,33,56,33,56,33,38,21
0005-0423,2023,core,39,37,34,32,38,36,24,23
0005-0423,2023,all,40,37,35,32,39,36,24,23
0005-1098,2023,core,163,66,141,57,142,64,76,42
0005-1098,2023,all,163,66,141,57,142,64,76,42
0005-2728,2023,core,21,14,20,13,21,14,5,4
0005-2728,2023,all,21,14,20,13,21,14,5,4
0005-2736,2023,core,26,14,25,14,23,12,4,2
0005-2736,2023,all,27,14,26,14,24,12,5,2
0005-576X,2023,core,10,7,10,7,10,7,10,7
0005-576X,2023,all,10,7,10,7,10,7,10,7
0005-7894,2023,core,34,18,32,18,33,18,21,13
0005-7894,2023,all,34,18,32,18,33,18,21,13
0005-7916,2023,core,43,20,43,20,43,20,30,16
0005-7916,2023,all,45,20,45,20,45,20,31,16
0005-7959,2023,core,6,5,5,4,6,5,4,3
0005-7959,2023,all,6,5,5,4,6,5,4,3
0005-7967,2023,core,70,45,66,44,69,44,49,32
0005-7967,2023,all,72,45,68,44,71,44,51,32
0005-8076,2023,core,2,0,2,0,2,0,2,0
0005-8076,2023,all,2,0,2,0,2,0,2,0
0006-2014,2023,core,4,4,4,4,4,4,4,4
0006-2014,2023,all,4,4,4,4,4,4,4,4
0006-291X,2023,core,92,50,87,47,90,50,17,8
0006-291X,2023,all,95,51,90,48,91,51,18,9
0006-2928,2023,core,10,3,6,2,7,3,1,1
0006-2928,2023,all,10,3,6,2,7,3,1,1
0006-2952,2023,core,79,45,72,43,73,43,19,11
0006-2952,2023,all,81,45,74,43,73,43,19,11
0006-2960,2023,core,56,33,52,30,53,32,5,1
0006-2960,2023,all,58,35,54,32,55,34,7,3
0006-2979,2023,core,1,0,1,0,1,0,1,0
0006-2979,2023,all,1,0,1,0,1,0,1,0
0006-3088,2023,core,38,18,30,15,37,18,17,10
0006-3088,2023,all,40,19,30,15,39,19,17,10
0006-3207,2023,core,198,139,194,137,194,138,165,116
