issn_l,earliest_year,pubtype,ta_articles,ta_oa_articles,ta_first_author_articles,ta_oa_first_author_articles,ta_corresponding_author_articles,ta_oa_corresponding_author_articles,ta_first_corresponding_author_articles,ta_oa_first_corresponding_author_articles
0004-9441,2023,all,17,13,17,13,17,13,16,13
0004-9441,2023,core,15,13,15,13,15,13,14,13
0004-9522,2023,all,59,39,59,34,59,34,53,29
0004-9522,2023,core,36,34,36,29,36,29,30,24
0004-959X,2023,all,19,20,19,18,20,19,18,17
0004-959X,2023,core,19,20,19,18,20,19,18,17
0004-9727,2023,all,56,13,55,11,53,11,45,9
0004-9727,2023,core,29,13,28,11,26,11,18,9
0005-0067,2023,all,49,43,49,31,49,31,33,19
0005-0067,2023,core,41,38,41,28,41,28,27,18
0005-0423,2023,all,44,51,42,38,44,40,29,27
0005-0423,2023,core,43,51,41,38,43,40,29,27
0005-1098,2023,all,133,97,129,72,127,72,83,47
0005-1098,2023,core,133,97,129,72,127,72,83,47
0005-2728,2023,all,11,13,11,7,11,7,2,1
0005-2728,2023,core,11,13,11,7,11,7,2,1
0005-2736,2023,all,29,30,28,16,32,19,9,5
0005-2736,2023,core,28,30,27,16,31,19,8,5
0005-7894,2023,all,32,22,31,17,32,17,21,12
0005-7894,2023,core,32,22,31,17,32,17,21,12
0005-7916,2023,all,37,27,37,20,40,22,28,15
0005-7916,2023,core,37,27,37,20,40,22,28,15
0005-7959,2023,all,8,7,7,5,8,6,6,4
0005-7959,2023,core,8,7,7,5,8,6,6,4
0005-7967,2023,all,77,61,76,46,80,48,50,33
0005-7967,2023,core,76,61,75,46,79,48,49,33
0005-8076,2023,all,4,0,4,0,4,0,4,0
0005-8076,2023,core,1,0,1,0,1,0,1,0
0006-2014,2023,all,2,2,2,2,2,2,2,2
0006-2014,2023,core,2,2,2,2,2,2,2,2
0006-291X,2023,all,86,85,82,45,88,50,21,10
0006-291X,2023,core,83,83,79,44,86,48,20,9
0006-2928,2023,all,4,3,4,2,3,2,1,1
0006-2928,2023,core,4,3,4,2,3,2,1,1
0006-2952,2023,all,76,83,69,44,76,48,16,9
0006-2952,2023,core,73,83,66,44,73,48,14,9
0006-2960,2023,all,49,54,49,27,50,29,6,2
0006-2960,2023,core,47,52,47,26,47,27,4,1
0006-3088,2023,all,31,23,25,14,31,18,14,9
0006-3088,2023,core,29,22,24,14,29,17,14,9
0006-3207,2023,all,197,166,196,142,199,144,166,120
0006-3207,2023,core,186,162,185,138,188,140,158,116
0006-3223,2023,all,255,32,251,20,94,26,58,14
0006-3223,2023,core,52,32,48,20,60,26,31,14
0006-3231,2023,all,77,86,74,64,84,72,56,50
0006-3231,2023,core,76,85,73,63,83,71,55,49
0006-3363,2023,all,15,18,14,10,16,12,4,4
0006-3363,2023,core,15,18,14,10,16,12,4,4
0006-341X,2023,all,15,10,13,8,14,7,8,5
